km,tarifa_pesos_tn
1358,130684.00
1359,130728.16
1360,130769.73
1361,130813.90
1362,130855.47
1363,130899.64
1364,130943.81
1365,130985.37
1366,131029.54
1367,131071.10
1368,131117.87
1369,131156.84
1370,131203.60
1371,131245.17
1372,131289.34
1373,131330.91
1374,131375.08
1375,131416.64
1376,131460.81
1377,131502.38
1378,131543.95
1379,131588.11
1380,131629.68
1381,131673.85
1382,131715.42
1383,131756.99
1384,131801.15
1385,131842.72
1386,131884.29
1387,131928.46
1388,131970.03
1389,132011.60
1390,132053.16
1391,132097.33
1392,132138.90
1393,132180.47
1394,132222.04
1395,132263.61
1396,132307.77
1397,132349.34
1398,132390.91
1399,132429.88
1400,132471.45
1401,132513.02
1402,132557.18
1403,132598.75
1404,132640.32
1405,132681.89
1406,132723.46
1407,132765.03
1408,132806.60
1409,132848.16
1410,132889.73
1411,132931.30
1412,132972.87
1413,133014.43
1414,133056.01
1415,133097.57
1416,133136.55
1417,133178.12
1418,133219.68
1419,133261.25
1420,133302.82
1421,133341.79
1422,133383.36
1423,133424.93
1424,133466.50
1425,133508.07
1426,133547.04
1427,133586.01
1428,133627.58
1429,133669.14
1430,133710.71
1431,133752.28
1432,133791.25
1433,133830.22
1434,133871.79
1435,133913.36
1436,133952.33
1437,133993.90
1438,134035.47
1439,134074.44
1440,134116.01
1441,134154.98
1442,134193.95
1443,134235.52
1444,134277.09
1445,134316.06
1446,134357.63
1447,134394.00
1448,134435.57
1449,134474.54
1450,134516.11
1451,134557.67
1452,134594.05
1453,134635.62
1454,134674.59
1455,134716.15
1456,134755.13
1457,134796.69
1458,134833.07
1459,134872.04
1460,134913.61
1461,135008.06
1462,135378.51
1463,135471.34
1464,135842.68
1465,136028.35
1466,136169.39
1467,136448.79
1468,136538.41
1469,136724.07
1470,136957.94
1471,137096.30
1472,137421.22
1473,137608.68
1474,137885.39
1475,137980.18
1476,138349.73
1477,138442.56
1478,138630.02
1479,138813.90
1480,139092.56
1481,139185.40
1482,139512.10
1483,139651.35
1484,139975.37
1485,140113.55
1486,140345.63
1487,140579.50
1488,140670.55
1489,141042.77
1490,141061.33
1491,141432.66
1492,141525.49
1493,141712.05
1494,141897.71
1495,142175.91
1496,142454.41
1497,142733.80
1498,142782.00
1499,143105.13
1500,143197.96
