codigo_indec,provincia,departamento,lon,lat,dist_km__Gran Rosario (San Lorenzo),dist_km__Bahía Blanca (Ing. White),dist_km__Quequén (Necochea),dist_km,puerto_asignado,produccion_tn,flete_usd_tn,pizarra_usd_tn,pct_flete_sobre_bruto,valor_neto_usd_tn,flete_total_usd,valor_neto_total_usd,cultivo
74049,SAN LUIS,JUNIN,-65.39558955369144,-32.21605607411298,669.2201,1000.2498,1125.5988,669.2201,Gran Rosario (San Lorenzo),23330,67.22529888893051,336.79867869846765,19.96008391384356,269.57337980953713,1568366.223078749,6289146.950956501,Soja
74063,SAN LUIS,LIBERTADOR GENERAL SAN MARTIN,-65.70949239991377,-32.57824668405824,627.0979,949.3553,1074.7043,627.0979,Gran Rosario (San Lorenzo),4930,65.61632879235972,336.79867869846765,19.48235932692163,271.1823499061079,323488.50094633346,1336928.985037112,Soja
74021,SAN LUIS,CORONEL PRINGLES,-65.9011495043426,-33.10653130783686,599.2993,906.5419,1031.8909,599.2993,Gran Rosario (San Lorenzo),84318,64.5100970018032,336.79867869846765,19.153904418834856,272.28858169666444,5439362.3589980425,22958828.631499354,Soja
74028,SAN LUIS,CHACABUCO,-65.19810945389108,-32.727018625868695,594.9443,922.8960999999999,1048.2450999999999,594.9443,Gran Rosario (San Lorenzo),42453,64.33252170987572,336.79867869846765,19.101179956668403,272.46615698859193,2731108.544149354,11567005.762636693,Soja
66126,SALTA,ORAN,-64.15282348581962,-23.498062331915254,1320.5573,1999.5248000000001,2100.4428,1320.5573,Gran Rosario (San Lorenzo),22535,93.31184417690501,336.79867869846765,27.7055256088003,243.48683452156263,2102782.4085265542,5486975.815943413,Soja
66084,SALTA,LA CANDELARIA,-65.17625673059665,-26.0848874026384,975.5136,1604.8814,1755.399,975.5136,Gran Rosario (San Lorenzo),3038,80.32462854738552,336.79867869846765,23.849448833289312,256.4740501510821,244026.2215269572,779168.1643589875,Soja
66056,SALTA,GENERAL JOSE DE SAN MARTIN,-63.65829148085778,-22.713700522262,1397.2213000000002,2076.1888,2177.1068,1397.2213000000002,Gran Rosario (San Lorenzo),84432,95.72069630776987,336.79867869846765,28.420745793206514,241.0779823906978,8081889.830657626,20354696.209211398,Soja
66133,SALTA,RIVADAVIA,-62.8279207077931,-23.514317871125463,1360.1643000000001,2148.4935,2071.1658,1360.1643000000001,Gran Rosario (San Lorenzo),28635,94.57692961920011,336.79867869846765,28.081146275479856,242.22174907926754,2708210.379645795,6936019.784884826,Soja
06392,BUENOS AIRES,GENERAL VILLEGAS,-62.953781873517265,-34.76989363177766,348.47990000000004,479.68059999999997,609.0238,348.47990000000004,Gran Rosario (San Lorenzo),848670,47.78734205657709,336.79867869846765,14.188696416876564,289.0113366418906,40555683.583155274,245275251.06787327,Soja
66028,SALTA,CAPITAL,-65.26987867024842,-24.89114366823441,1109.8254,1788.7929,1889.7108,1109.8254,Gran Rosario (San Lorenzo),2625,85.75438273427204,336.79867869846765,25.46161495219138,251.0442959641956,225105.2546774641,658991.2769060135,Soja
